university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
University of Wisconsin-Madison,R1,,Midwest,43.0766,-89.4125,1,0,391916,White,Nonresident Alien,Asian,333628,White,Nonresident Alien,Asian,2864765528,2737194448,3073958356,3130742662,3279214560,3761960533,4147778300,4325125140,4796791440,5288107038,2791941912
Wellesley College,Liberal Arts,Women's College,Northeast,42.2936,-71.3065,1,0,22922,White,Asian,Hispanic/Latino,23182,White,Asian,Nonresident Alien,3160806000,3676572000,3773038000,3647176000,3950506000,4226408000,4363148000,4590302000,6501368000,5717862000,2899823000
Vanderbilt University,R1,Private,South,36.1447,-86.8027,1,1,94480,White,Asian,Nonresident Alien,88228,White,Nonresident Alien,Black or African American,8656617484,8659346704,9153383848,8093371212,8991261154,10198196056,13847997610,14067244058,21905648698,20803622634,10048013509
Baylor College of Medicine,R1,Private,South,29.7116,-95.4018,1,0,6440,White,Asian,Nonresident Alien,6100,White,Asian,Nonresident Alien,1806740578,2767774808,3085760800,3024674946,3200338670,3327554512,3399424014,3089998070,4021897234,3580381710,1766845398
South Dakota State University,R2,,Midwest,44.3196,-96.7851,1,0,95268,White,Nonresident Alien,Hispanic/Latino,108294,White,Nonresident Alien,Two or More Races,287177268,304558338,357644738,352564760,362679168,366091844,395202322,357404032,371885770,387977698,187764432
American University ,R2,Private,Mid-Atlantic,38.9375,-77.0897,1,0,98532,White,Hispanic/Latino,Nonresident Alien,90156,White,Race/Ethnicity Unknown,Hispanic/Latino,1531958000,1765368000,1789372000,1718438000,1904078000,1996908000,1930356000,1965518000,2678576000,2507040000,1307727000
Johns Hopkins University,R1,Private,Mid-Atlantic,39.3289,-76.6205,1,1,156948,White,Nonresident Alien,Asian,116476,White,Nonresident Alien,Asian,7960476000,8852304000,8675916000,8546254000,9531260000,10521958000,14608412000,15519520000,21173032000,18695538000,11606593000
University of Nebraska-Lincoln,R1,,Midwest,40.8202,-96.7005,1,1,200706,White,Hispanic/Latino,Nonresident Alien,203572,White,Nonresident Alien,Hispanic/Latino,1354588008,1439737746,1509291110,1535439328,1566348496,1623285918,1655601886,1535760854,1604933568,1713805328,840884338
University of North Dakota,R2,,Midwest,47.9212,-97.0701,1,0,108118,White,Nonresident Alien,Hispanic/Latino,126074,White,Nonresident Alien,Race/Ethnicity Unknown,463127516,551067946,574930540,617513560,646589356,681960018,650010318,746124748,934636364,1023595180,546862030
University of Maine,R2,,Northeast,44.9,-68.667,1,1,99474,White,Hispanic/Latino,Two or More Races,90078,White,Race/Ethnicity Unknown,Nonresident Alien,393762000,380052000,370278000,389296000,416320000,437252000,457174000,448632000,477616000,577192000,252326000
College of Saint Benedict,Women's College,,Midwest,45.5785,-94.3963,1,0,13830,White,Hispanic/Latino,Asian,19710,White,Nonresident Alien,Asian,111359762,127586138,129073276,164473428,150293340,163137558,174287354,184366234,235453308,215451060,121219265
